brass_acoustic_046-101-050:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 9.956558147394823e-10, 'wrong_value_percentage': 98.95952343940735}
keyboard_electronic_069-059-127:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 7.935421913862228, 'wrong_value_percentage': 83.07987451553345}
organ_electronic_028-036-050:{'correct_value': 6, 'wrong_value': 0, 'correct_value_percentage': 1.3465603813529015, 'wrong_value_percentage': 98.21982979774475}
bass_synthetic_134-057-075:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 16.890807449817657, 'wrong_value_percentage': 49.890175461769104}
bass_synthetic_034-067-025:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 1.4392692595720291, 'wrong_value_percentage': 98.55178594589233}
organ_electronic_028-101-075:{'correct_value': 6, 'wrong_value': 2, 'correct_value_percentage': 0.30464716255664825, 'wrong_value_percentage': 60.34255027770996}
reed_acoustic_023-039-075:{'correct_value': 7, 'wrong_value': 0, 'correct_value_percentage': 2.994638981235198e-07, 'wrong_value_percentage': 95.67049145698547}
organ_electronic_007-025-075:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 0.0033667489333311096, 'wrong_value_percentage': 84.45799350738525}
keyboard_electronic_001-039-127:{'correct_value': 4, 'wrong_value': 8, 'correct_value_percentage': 31.232362985610962, 'wrong_value_percentage': 68.69652271270752}
keyboard_synthetic_000-050-100:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 2.2375108674168587, 'wrong_value_percentage': 92.27268099784851}
reed_acoustic_011-064-100:{'correct_value': 7, 'wrong_value': 1, 'correct_value_percentage': 13.617323338985443, 'wrong_value_percentage': 86.29671931266785}
guitar_electronic_028-072-025:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 1.2546769343316555, 'wrong_value_percentage': 94.37249898910522}
guitar_electronic_028-101-100:{'correct_value': 3, 'wrong_value': 0, 'correct_value_percentage': 4.762732610106468, 'wrong_value_percentage': 56.68553113937378}
guitar_acoustic_014-024-075:{'correct_value': 3, 'wrong_value': 0, 'correct_value_percentage': 0.19943322986364365, 'wrong_value_percentage': 60.843658447265625}
flute_synthetic_000-086-025:{'correct_value': 2, 'wrong_value': 9, 'correct_value_percentage': 11.937741935253143, 'wrong_value_percentage': 88.02183866500854}
organ_electronic_028-072-025:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 0.4153006710112095, 'wrong_value_percentage': 66.27116203308105}
guitar_acoustic_014-089-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 3.306654468178749, 'wrong_value_percentage': 80.98825812339783}
organ_electronic_007-074-025:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 1.9004685825052547e-06, 'wrong_value_percentage': 99.99955892562866}
keyboard_synthetic_000-082-127:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 2.4763714522123337, 'wrong_value_percentage': 67.68385171890259}
organ_electronic_028-102-050:{'correct_value': 6, 'wrong_value': 2, 'correct_value_percentage': 0.2411610446870327, 'wrong_value_percentage': 91.0094141960144}
reed_acoustic_023-095-025:{'correct_value': 7, 'wrong_value': 1, 'correct_value_percentage': 7.202192620070491e-06, 'wrong_value_percentage': 99.99575614929199}
guitar_electronic_028-079-025:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 0.5272048991173506, 'wrong_value_percentage': 92.4841582775116}
guitar_electronic_022-032-127:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 37.98262178897858, 'wrong_value_percentage': 59.36616063117981}
flute_acoustic_002-087-025:{'correct_value': 2, 'wrong_value': 7, 'correct_value_percentage': 27.77761220932007, 'wrong_value_percentage': 72.22238183021545}
guitar_acoustic_014-025-050:{'correct_value': 3, 'wrong_value': 0, 'correct_value_percentage': 0.10454253060743213, 'wrong_value_percentage': 72.25043177604675}
flute_synthetic_000-090-127:{'correct_value': 2, 'wrong_value': 9, 'correct_value_percentage': 13.40334415435791, 'wrong_value_percentage': 86.11388206481934}
keyboard_electronic_002-061-127:{'correct_value': 4, 'wrong_value': 3, 'correct_value_percentage': 36.04951202869415, 'wrong_value_percentage': 63.79300355911255}
guitar_acoustic_014-027-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 0.8757403120398521, 'wrong_value_percentage': 81.50309324264526}
guitar_acoustic_014-037-075:{'correct_value': 3, 'wrong_value': 0, 'correct_value_percentage': 7.26611390709877, 'wrong_value_percentage': 56.146788597106934}
guitar_electronic_028-099-025:{'correct_value': 3, 'wrong_value': 0, 'correct_value_percentage': 2.1008729934692383, 'wrong_value_percentage': 67.43974685668945}
guitar_electronic_022-050-127:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 6.763377785682678, 'wrong_value_percentage': 89.85215425491333}
reed_acoustic_023-042-075:{'correct_value': 7, 'wrong_value': 4, 'correct_value_percentage': 6.87364956619696e-09, 'wrong_value_percentage': 73.65502715110779}
reed_acoustic_023-050-025:{'correct_value': 7, 'wrong_value': 0, 'correct_value_percentage': 4.096017747201586e-06, 'wrong_value_percentage': 76.39256119728088}
mallet_acoustic_062-049-127:{'correct_value': 5, 'wrong_value': 9, 'correct_value_percentage': 0.43231132440268993, 'wrong_value_percentage': 99.39606189727783}
guitar_electronic_022-041-025:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 16.59550815820694, 'wrong_value_percentage': 82.27423429489136}
organ_electronic_028-052-075:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 19.542542099952698, 'wrong_value_percentage': 32.821059226989746}
guitar_electronic_022-082-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 0.47046681866049767, 'wrong_value_percentage': 87.36864924430847}
organ_electronic_028-079-100:{'correct_value': 6, 'wrong_value': 2, 'correct_value_percentage': 4.525846009073575e-05, 'wrong_value_percentage': 90.37284255027771}
brass_acoustic_016-055-050:{'correct_value': 1, 'wrong_value': 4, 'correct_value_percentage': 0.18621410708874464, 'wrong_value_percentage': 96.32436633110046}
bass_synthetic_134-080-127:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 17.10831969976425, 'wrong_value_percentage': 79.3053686618805}
guitar_acoustic_021-104-100:{'correct_value': 3, 'wrong_value': 0, 'correct_value_percentage': 21.48333042860031, 'wrong_value_percentage': 71.36917114257812}
keyboard_electronic_002-075-100:{'correct_value': 4, 'wrong_value': 3, 'correct_value_percentage': 10.61842143535614, 'wrong_value_percentage': 88.1737768650055}
guitar_acoustic_021-103-075:{'correct_value': 3, 'wrong_value': 0, 'correct_value_percentage': 22.732746601104736, 'wrong_value_percentage': 68.78164410591125}
brass_acoustic_046-106-025:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 9.956558147394823e-10, 'wrong_value_percentage': 98.95952343940735}
organ_electronic_028-033-025:{'correct_value': 6, 'wrong_value': 0, 'correct_value_percentage': 0.6820136681199074, 'wrong_value_percentage': 99.04171228408813}
keyboard_synthetic_000-100-075:{'correct_value': 4, 'wrong_value': 8, 'correct_value_percentage': 0.14068859163671732, 'wrong_value_percentage': 73.50025773048401}
brass_acoustic_046-085-127:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 9.956558147394823e-10, 'wrong_value_percentage': 98.95952343940735}
guitar_electronic_022-037-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 21.426397562026978, 'wrong_value_percentage': 62.29963302612305}
keyboard_synthetic_000-087-075:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 3.5451658070087433, 'wrong_value_percentage': 89.35550451278687}
mallet_acoustic_062-092-100:{'correct_value': 5, 'wrong_value': 4, 'correct_value_percentage': 5.215445905923843, 'wrong_value_percentage': 80.55220246315002}
brass_acoustic_016-059-075:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 0.004098913268535398, 'wrong_value_percentage': 98.18305373191833}
keyboard_synthetic_000-048-075:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 22.07457423210144, 'wrong_value_percentage': 44.477978348731995}
guitar_acoustic_021-022-075:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 0.4430107306689024, 'wrong_value_percentage': 96.04368209838867}
guitar_acoustic_014-043-075:{'correct_value': 3, 'wrong_value': 0, 'correct_value_percentage': 18.150393664836884, 'wrong_value_percentage': 70.12190818786621}
keyboard_electronic_069-057-050:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 28.890562057495117, 'wrong_value_percentage': 63.527148962020874}
keyboard_synthetic_000-077-050:{'correct_value': 4, 'wrong_value': 3, 'correct_value_percentage': 6.485290825366974, 'wrong_value_percentage': 53.67636680603027}
keyboard_electronic_002-085-100:{'correct_value': 4, 'wrong_value': 3, 'correct_value_percentage': 6.8632423877716064, 'wrong_value_percentage': 88.77445459365845}
guitar_acoustic_030-043-075:{'correct_value': 3, 'wrong_value': 0, 'correct_value_percentage': 5.030129104852676, 'wrong_value_percentage': 69.21711564064026}
organ_electronic_007-068-050:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 7.413333946715284e-06, 'wrong_value_percentage': 99.99750852584839}
bass_synthetic_135-049-127:{'correct_value': 0, 'wrong_value': 5, 'correct_value_percentage': 18.588118255138397, 'wrong_value_percentage': 67.39950180053711}
bass_synthetic_134-093-100:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 21.1451917886734, 'wrong_value_percentage': 78.61428260803223}
organ_electronic_007-032-075:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 0.0002814488652802538, 'wrong_value_percentage': 99.73402619361877}
flute_acoustic_002-098-127:{'correct_value': 2, 'wrong_value': 7, 'correct_value_percentage': 49.30540323257446, 'wrong_value_percentage': 50.694531202316284}
keyboard_electronic_078-080-100:{'correct_value': 4, 'wrong_value': 3, 'correct_value_percentage': 13.625603914260864, 'wrong_value_percentage': 86.37300729751587}
brass_acoustic_046-086-050:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 9.956558147394823e-10, 'wrong_value_percentage': 98.95952343940735}
reed_acoustic_023-077-025:{'correct_value': 7, 'wrong_value': 0, 'correct_value_percentage': 5.703780914245726e-06, 'wrong_value_percentage': 94.75131630897522}
bass_synthetic_134-038-100:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 24.30422306060791, 'wrong_value_percentage': 59.92826819419861}
organ_electronic_007-059-025:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 3.62421559430004e-06, 'wrong_value_percentage': 99.99737739562988}
keyboard_electronic_069-060-100:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 6.768520921468735, 'wrong_value_percentage': 86.14569902420044}
bass_synthetic_135-068-100:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 5.90844489634037, 'wrong_value_percentage': 79.62738275527954}
guitar_acoustic_021-101-100:{'correct_value': 3, 'wrong_value': 0, 'correct_value_percentage': 26.65974199771881, 'wrong_value_percentage': 55.893903970718384}
brass_acoustic_046-086-127:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 9.956558147394823e-10, 'wrong_value_percentage': 98.95952343940735}
guitar_acoustic_014-105-100:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 38.12582492828369, 'wrong_value_percentage': 49.80677366256714}
guitar_acoustic_014-044-025:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 1.7090488225221634, 'wrong_value_percentage': 49.25181865692139}
bass_synthetic_135-099-050:{'correct_value': 0, 'wrong_value': 5, 'correct_value_percentage': 1.8534913659095764, 'wrong_value_percentage': 63.02597522735596}
organ_electronic_007-045-127:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 0.031120466883294284, 'wrong_value_percentage': 98.78954887390137}
guitar_electronic_022-038-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 13.878650963306427, 'wrong_value_percentage': 81.18516206741333}
organ_electronic_007-011-025:{'correct_value': 6, 'wrong_value': 3, 'correct_value_percentage': 1.4508347589980986e-05, 'wrong_value_percentage': 99.93830919265747}
brass_acoustic_046-108-050:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 9.956558147394823e-10, 'wrong_value_percentage': 98.95952343940735}
guitar_acoustic_030-099-025:{'correct_value': 3, 'wrong_value': 0, 'correct_value_percentage': 5.072064697742462, 'wrong_value_percentage': 71.46341800689697}
organ_electronic_007-019-050:{'correct_value': 6, 'wrong_value': 2, 'correct_value_percentage': 0.0024166589355445467, 'wrong_value_percentage': 96.41703367233276}
keyboard_synthetic_000-103-127:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 0.004624832217814401, 'wrong_value_percentage': 49.40275847911835}
mallet_acoustic_062-106-025:{'correct_value': 5, 'wrong_value': 0, 'correct_value_percentage': 0.2905205823481083, 'wrong_value_percentage': 98.2151985168457}
keyboard_electronic_001-100-100:{'correct_value': 4, 'wrong_value': 6, 'correct_value_percentage': 1.631522923707962, 'wrong_value_percentage': 98.34328889846802}
guitar_electronic_022-087-127:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 2.7651922777295113, 'wrong_value_percentage': 80.52085638046265}
flute_synthetic_000-105-100:{'correct_value': 2, 'wrong_value': 6, 'correct_value_percentage': 2.4627000093460083, 'wrong_value_percentage': 62.75724172592163}
bass_synthetic_034-053-100:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 13.225376605987549, 'wrong_value_percentage': 86.7707908153534}
bass_synthetic_033-024-050:{'correct_value': 0, 'wrong_value': 2, 'correct_value_percentage': 42.00644791126251, 'wrong_value_percentage': 54.53019738197327}
organ_electronic_007-093-100:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 2.211650382832886e-05, 'wrong_value_percentage': 99.99984502792358}
guitar_acoustic_014-087-075:{'correct_value': 3, 'wrong_value': 5, 'correct_value_percentage': 1.4576584100723267, 'wrong_value_percentage': 78.57210636138916}
reed_acoustic_037-075-025:{'correct_value': 7, 'wrong_value': 1, 'correct_value_percentage': 34.29275155067444, 'wrong_value_percentage': 64.97741937637329}
brass_acoustic_016-083-025:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 3.312262131238697e-08, 'wrong_value_percentage': 88.15538287162781}
string_acoustic_014-030-075:{'correct_value': 8, 'wrong_value': 0, 'correct_value_percentage': 6.104375794529915, 'wrong_value_percentage': 90.43912887573242}
flute_acoustic_002-099-075:{'correct_value': 2, 'wrong_value': 7, 'correct_value_percentage': 14.222921431064606, 'wrong_value_percentage': 85.77708005905151}
guitar_acoustic_021-026-127:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 1.1831504292786121, 'wrong_value_percentage': 89.53316807746887}
organ_electronic_028-035-127:{'correct_value': 6, 'wrong_value': 7, 'correct_value_percentage': 0.24095044936984777, 'wrong_value_percentage': 34.04154181480408}
reed_acoustic_023-095-127:{'correct_value': 7, 'wrong_value': 1, 'correct_value_percentage': 7.200681295671529e-06, 'wrong_value_percentage': 99.99575614929199}
keyboard_electronic_001-098-050:{'correct_value': 4, 'wrong_value': 6, 'correct_value_percentage': 4.624427855014801, 'wrong_value_percentage': 95.33645510673523}
bass_synthetic_009-012-025:{'correct_value': 0, 'wrong_value': 1, 'correct_value_percentage': 7.588661462068558, 'wrong_value_percentage': 92.32990145683289}
guitar_acoustic_014-039-025:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 1.5955278649926186, 'wrong_value_percentage': 64.95785713195801}
organ_electronic_007-033-075:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 0.00014547385944752023, 'wrong_value_percentage': 99.64709281921387}
guitar_acoustic_010-052-025:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 4.062872007489204, 'wrong_value_percentage': 58.14281105995178}
guitar_acoustic_014-027-100:{'correct_value': 3, 'wrong_value': 0, 'correct_value_percentage': 6.878426671028137, 'wrong_value_percentage': 62.952446937561035}
string_acoustic_056-036-127:{'correct_value': 8, 'wrong_value': 3, 'correct_value_percentage': 24.437853693962097, 'wrong_value_percentage': 74.63626861572266}
bass_synthetic_135-087-050:{'correct_value': 0, 'wrong_value': 5, 'correct_value_percentage': 1.5189551748335361, 'wrong_value_percentage': 62.08508014678955}
keyboard_electronic_001-103-075:{'correct_value': 4, 'wrong_value': 6, 'correct_value_percentage': 1.5363242477178574, 'wrong_value_percentage': 98.44385981559753}
keyboard_acoustic_004-101-025:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 10.46915277838707, 'wrong_value_percentage': 73.74523878097534}
keyboard_acoustic_004-045-025:{'correct_value': 4, 'wrong_value': 3, 'correct_value_percentage': 16.020028293132782, 'wrong_value_percentage': 83.72244238853455}
bass_synthetic_134-102-050:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 13.170666992664337, 'wrong_value_percentage': 86.77424788475037}
organ_electronic_028-032-050:{'correct_value': 6, 'wrong_value': 0, 'correct_value_percentage': 0.6958798505365849, 'wrong_value_percentage': 95.9168791770935}
organ_electronic_028-025-025:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 4.664907604455948, 'wrong_value_percentage': 95.19089460372925}
bass_synthetic_134-059-100:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 25.760403275489807, 'wrong_value_percentage': 39.93370234966278}
bass_synthetic_009-086-127:{'correct_value': 0, 'wrong_value': 9, 'correct_value_percentage': 0.05315965390764177, 'wrong_value_percentage': 99.93559718132019}
bass_synthetic_135-087-127:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 0.6210924126207829, 'wrong_value_percentage': 92.21107959747314}
string_acoustic_014-050-127:{'correct_value': 8, 'wrong_value': 0, 'correct_value_percentage': 17.112421989440918, 'wrong_value_percentage': 81.97357058525085}
organ_electronic_007-013-100:{'correct_value': 6, 'wrong_value': 3, 'correct_value_percentage': 0.02519833215046674, 'wrong_value_percentage': 84.94408130645752}
vocal_synthetic_003-083-025:{'correct_value': 9, 'wrong_value': 6, 'correct_value_percentage': 2.199898660182953, 'wrong_value_percentage': 92.15350151062012}
organ_electronic_007-065-025:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 8.100335957550442e-08, 'wrong_value_percentage': 99.99860525131226}
bass_synthetic_135-101-127:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 3.954833373427391, 'wrong_value_percentage': 70.561683177948}
organ_electronic_007-018-075:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 0.06765625439584255, 'wrong_value_percentage': 48.305314779281616}
bass_synthetic_135-080-050:{'correct_value': 0, 'wrong_value': 5, 'correct_value_percentage': 5.018547922372818, 'wrong_value_percentage': 33.73142182826996}
guitar_electronic_022-054-025:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 1.6389517113566399, 'wrong_value_percentage': 88.1299078464508}
flute_synthetic_000-090-075:{'correct_value': 2, 'wrong_value': 9, 'correct_value_percentage': 7.86304771900177, 'wrong_value_percentage': 91.67301654815674}
keyboard_electronic_001-096-050:{'correct_value': 4, 'wrong_value': 6, 'correct_value_percentage': 6.689990311861038, 'wrong_value_percentage': 93.27841401100159}
keyboard_electronic_002-073-100:{'correct_value': 4, 'wrong_value': 3, 'correct_value_percentage': 14.761216938495636, 'wrong_value_percentage': 84.2633605003357}
organ_electronic_007-037-075:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 0.0012310027159401216, 'wrong_value_percentage': 99.88192915916443}
bass_synthetic_034-035-075:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 5.475513264536858, 'wrong_value_percentage': 94.5172131061554}
guitar_electronic_028-082-127:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 4.947618767619133, 'wrong_value_percentage': 78.61153483390808}
vocal_synthetic_003-084-075:{'correct_value': 9, 'wrong_value': 6, 'correct_value_percentage': 42.34434962272644, 'wrong_value_percentage': 57.65249729156494}
organ_electronic_007-073-075:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 1.0138549555449572e-06, 'wrong_value_percentage': 99.99680519104004}
guitar_acoustic_014-032-075:{'correct_value': 3, 'wrong_value': 1, 'correct_value_percentage': 12.324738502502441, 'wrong_value_percentage': 53.03109884262085}
bass_synthetic_034-092-075:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 22.966456413269043, 'wrong_value_percentage': 76.82462334632874}
brass_acoustic_046-095-050:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 9.956558147394823e-10, 'wrong_value_percentage': 98.95952343940735}
flute_synthetic_000-091-075:{'correct_value': 2, 'wrong_value': 9, 'correct_value_percentage': 2.3759594187140465, 'wrong_value_percentage': 96.97545766830444}
bass_synthetic_135-061-025:{'correct_value': 0, 'wrong_value': 5, 'correct_value_percentage': 38.851362466812134, 'wrong_value_percentage': 51.04855298995972}
bass_synthetic_135-108-075:{'correct_value': 0, 'wrong_value': 5, 'correct_value_percentage': 19.143760204315186, 'wrong_value_percentage': 62.12831735610962}
organ_electronic_007-089-100:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 1.8800664136620071e-06, 'wrong_value_percentage': 99.99997615814209}
bass_synthetic_135-050-025:{'correct_value': 0, 'wrong_value': 5, 'correct_value_percentage': 40.32354950904846, 'wrong_value_percentage': 49.64256286621094}
keyboard_synthetic_000-075-075:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 0.2562755485996604, 'wrong_value_percentage': 96.44521474838257}
guitar_acoustic_021-033-127:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 6.619025021791458, 'wrong_value_percentage': 82.28113651275635}
keyboard_synthetic_000-072-050:{'correct_value': 4, 'wrong_value': 3, 'correct_value_percentage': 24.072492122650146, 'wrong_value_percentage': 60.95491647720337}
bass_synthetic_135-081-025:{'correct_value': 0, 'wrong_value': 5, 'correct_value_percentage': 3.5396993160247803, 'wrong_value_percentage': 42.415472865104675}
organ_electronic_007-037-100:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 0.008718494791537523, 'wrong_value_percentage': 99.34583306312561}
bass_synthetic_034-039-050:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 0.8575187996029854, 'wrong_value_percentage': 99.1407036781311}
guitar_acoustic_014-028-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 2.1684302017092705, 'wrong_value_percentage': 83.08484554290771}
organ_electronic_028-096-100:{'correct_value': 6, 'wrong_value': 2, 'correct_value_percentage': 0.0007500376796087949, 'wrong_value_percentage': 99.88828301429749}
guitar_acoustic_014-094-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 3.0629051849246025, 'wrong_value_percentage': 94.395512342453}
guitar_electronic_022-055-100:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 4.002188146114349, 'wrong_value_percentage': 90.13963341712952}
guitar_acoustic_014-097-127:{'correct_value': 3, 'wrong_value': 5, 'correct_value_percentage': 5.7582903653383255, 'wrong_value_percentage': 51.46058797836304}
guitar_electronic_022-036-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 30.01422882080078, 'wrong_value_percentage': 57.33713507652283}
bass_synthetic_134-058-025:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 34.334054589271545, 'wrong_value_percentage': 59.15161967277527}
reed_acoustic_023-040-050:{'correct_value': 7, 'wrong_value': 0, 'correct_value_percentage': 6.661638352056798e-07, 'wrong_value_percentage': 85.82444190979004}
reed_acoustic_023-090-050:{'correct_value': 7, 'wrong_value': 1, 'correct_value_percentage': 7.535119750379238e-08, 'wrong_value_percentage': 99.33473467826843}
guitar_electronic_022-080-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 0.06942001054994762, 'wrong_value_percentage': 89.39266800880432}
bass_synthetic_135-082-025:{'correct_value': 0, 'wrong_value': 5, 'correct_value_percentage': 2.8787707909941673, 'wrong_value_percentage': 61.81086301803589}
bass_synthetic_034-040-075:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 0.3457623301073909, 'wrong_value_percentage': 99.65236783027649}
keyboard_synthetic_000-032-127:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 1.4832145534455776, 'wrong_value_percentage': 91.79649353027344}
keyboard_electronic_069-059-075:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 7.936833053827286, 'wrong_value_percentage': 83.07806849479675}
guitar_acoustic_021-107-025:{'correct_value': 3, 'wrong_value': 0, 'correct_value_percentage': 26.601529121398926, 'wrong_value_percentage': 66.75717234611511}
brass_acoustic_046-096-050:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 9.956558147394823e-10, 'wrong_value_percentage': 98.95952343940735}
bass_synthetic_033-022-050:{'correct_value': 0, 'wrong_value': 2, 'correct_value_percentage': 43.78891587257385, 'wrong_value_percentage': 53.06287407875061}
guitar_electronic_022-077-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 7.512650638818741, 'wrong_value_percentage': 72.46824502944946}
brass_acoustic_046-085-025:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 9.956558147394823e-10, 'wrong_value_percentage': 98.95952343940735}
guitar_acoustic_010-057-025:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 25.368013978004456, 'wrong_value_percentage': 74.25214052200317}
organ_electronic_028-057-127:{'correct_value': 6, 'wrong_value': 8, 'correct_value_percentage': 0.3794162068516016, 'wrong_value_percentage': 57.159221172332764}
reed_acoustic_023-062-100:{'correct_value': 7, 'wrong_value': 0, 'correct_value_percentage': 3.50541234928059e-08, 'wrong_value_percentage': 97.04455733299255}
organ_electronic_028-101-050:{'correct_value': 6, 'wrong_value': 2, 'correct_value_percentage': 0.13199396198615432, 'wrong_value_percentage': 79.75456118583679}
keyboard_synthetic_000-081-025:{'correct_value': 4, 'wrong_value': 6, 'correct_value_percentage': 1.614752970635891, 'wrong_value_percentage': 92.3184871673584}
organ_electronic_007-082-127:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 3.501906675751343e-06, 'wrong_value_percentage': 99.99985694885254}
guitar_electronic_028-069-025:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 1.7470676451921463, 'wrong_value_percentage': 94.59689855575562}
brass_acoustic_016-055-100:{'correct_value': 1, 'wrong_value': 4, 'correct_value_percentage': 4.742028936743736, 'wrong_value_percentage': 43.88856291770935}
guitar_electronic_022-024-050:{'correct_value': 3, 'wrong_value': 0, 'correct_value_percentage': 7.274875789880753, 'wrong_value_percentage': 79.47325706481934}
keyboard_synthetic_000-076-025:{'correct_value': 4, 'wrong_value': 3, 'correct_value_percentage': 15.703488886356354, 'wrong_value_percentage': 64.53604698181152}
reed_acoustic_011-044-025:{'correct_value': 7, 'wrong_value': 8, 'correct_value_percentage': 10.786759108304977, 'wrong_value_percentage': 84.32595133781433}
reed_acoustic_023-049-050:{'correct_value': 7, 'wrong_value': 0, 'correct_value_percentage': 3.73774167172769e-07, 'wrong_value_percentage': 63.379424810409546}
guitar_acoustic_010-063-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 41.62357151508331, 'wrong_value_percentage': 58.04256200790405}
bass_synthetic_134-099-100:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 27.152302861213684, 'wrong_value_percentage': 72.57496118545532}
organ_electronic_028-077-050:{'correct_value': 6, 'wrong_value': 5, 'correct_value_percentage': 0.00026032237201434327, 'wrong_value_percentage': 97.76466488838196}
bass_synthetic_134-091-025:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 13.482721149921417, 'wrong_value_percentage': 86.1691415309906}
